=VLOOKUP(IF($W$6="",L8,IF($W$6="O",O8,IF($W$6="R",R8,U8))),TPecap!$B$6:TPecap!$D$1666,1,TRUE)

67815  -> 9308.60

9308.6	67689	67845	9308.6



CONTENT	>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>				ELEVATION		ELEVATION>>>>>>>		>>>>>>>	CONTENT
																		
70462	9310.3	70367	70527	0.059375	9310.36		9310.36	70367	70527	70463
                                        
GAGE	0	0.10																
9189.9	135	138	9189.9					9277	30237	30321	30406	30490	30575	30659	30744	30829	30915	31000
9190.0	138	140	9190.0					9278	31086	31171	31257	31343	31429	31516	31602	31689	31776	31863
9190.1	140	143	9190.1					9279	31950	32037	32125	32212	32300	32388	32476	32564	32653	32741
9190.2	143	146	9190.2					9280	32830	32919	33008	33097	33187	33277	33367	33457	33547	33638
9190.3	146	148	9190.3					9281	33729	33820	33911	34003	34095	34187	34279	34371	34464	34557
9190.4	148	151	9190.4					9282	34650	34743	34837	34931	35025	35119	35213	35308	35403	35498
9190.5	151	154	9190.5					9283	35593	35689	35784	35880	35976	36073	36169	36266	36363	36461
9190.6	154	157	9190.6					9284	36558	36656	36754	36852	36950	37049	37148	37247	37346	37445
9190.7	157	160	9190.7					9285	37545	37645	37745	37845	37946	38047	38148	38249	38350	38452
9190.8	160	163	9190.8					9286	38554	38656	38758	38861	38964	39067	39170	39273	39377	39481
9190.9	163	166	9190.9					9287	39585	39689	39794	39899	40004	40109	40214	40320	40426	40532
9191.0	166	169	9191.0					9288	40638	40745	40851	40958	41065	41173	41280	41388	41496	41605
9191.1	169	172	9191.1					9289	41713	41822	41931	42040	42149	42259	42369	42479	42589	42699
9191.2	172	175	9191.2					9290	42810	42921	43032	43144	43255	43367	43479	43592	43704	43817
9191.3	175	178	9191.3					9291	43931	44044	44158	44272	44386	44500	44615	44730	44845	44961
9191.4	178	181	9191.4					9292	45076	45192	45309	45425	45542	45659	45776	45893	46011	46129
9191.5	181	184	9191.5					9293	46247	46366	46485	46604	46723	46842	46962	47082	47202	47323
9191.6	184	187	9191.6					9294	47444	47565	47686	47807	47929	48051	48173	48296	48419	48542
9191.7	187	190	9191.7					9295	48665	48789	48912	49036	49161	49285	49410	49535	49660	49786
9191.8	190	193	9191.8					9296	49912	50038	50164	50290	50417	50544	50672	50799	50927	51055
9191.9	193	196	9191.9					9297	51183	51312	51441	51570	51699	51829	51959	52089	52219	52350
9192.0	196	199	9192.0					9298	52480	52611	52743	52874	53006	53138	53271	53403	53536	53669
9192.1	199	203	9192.1					9299	53803	53936	54070	54204	54339	54473	54608	54743	54879	55014
9192.2	203	206	9192.2					9300	55150	55286	55422	55559	55696	55833	55970	56108	56245	56383
9192.3	206	209	9192.3					9301	56521	56660	56798	56937	57076	57216	57355	57495	57635	57775
9192.4	209	213	9192.4					9302	57916	58056	58197	58338	58480	58621	58763	58905	59047	59190
9192.5	213	216	9192.5					9303	59333	59476	59619	59762	59906	60050	60194	60338	60483	60627
9192.6	216	219	9192.6					9304	60772	60918	61063	61209	61355	61501	61647	61794	61941	62088
9192.7	219	223	9192.7					9305	62235	62383	62530	62678	62826	62975	63124	63272	63421	63571
9192.8	223	226	9192.8					9306	63720	63870	64020	64170	64321	64472	64623	64774	64925	65077
9192.9	226	229	9192.9					9307	65229	65381	65533	65686	65838	65991	66144	66298	66452	66605
9193.0	229	233	9193.0					9308	66760	66914	67069	67223	67378	67534	67689	67845	68001	68157
9193.1	233	236	9193.1					9309	68313	68470	68627	68784	68941	69099	69257	69415	69573	69731
9193.2	236	240	9193.2					9310	69890	70049	70208	70367	70527	70687	70847	71007	71168	71329
9193.3	240	243	9193.3					9311	71490	71651	71813	71974	72136	72298	72461	72624	72786	72950
9193.4	243	247	9193.4					9312	73113	73277	73440	73605	73769	73933	74098	74263	74429	74594
9193.5	247	250	9193.5					9313	74760	74926	75092	75258	75425	75592	75759	75926	76094	76262
